escuela,sigla,description
Actuación,ACO256E,"CURSO: IMPROVISACIÓN Y MÁSCARA
TRADUCCIÓN: IMPROVISATION AND THE MASK
SIGLA: ACO256E
CRÉDITOS: 10
MÓDULOS: 02
REQUISITOS: SIN REQUISITOS
CARÁCTER: OPTATIVO
DISCIPLINA: ACTUACIÓN


I. DESCRIPCIÓN

Curso taller destinado a adquirir la técnica de la improvisación para el teatro. Los alumnos podrán trabajar sobre la base de una máscara neutra con el fin de privilegiar la caracterización corporal en la búsqueda de los personajes.


II. OBJETIVOS

1. Conocer las herramientas básicas del trabajo con la máscara neutra.

2. Despertar la capacidad lúdica como puerta de entrada para el trabajo de improvisación.

3. Desarrollar un trabajo físico que permita el trabajo de improvisación.

4. Desarrollar un trabajo físico que permita el juego corporal con la máscara.


III. CONTENIDOS

1. La máscara neutra.

2. El personaje que se constituye gracias a la máscara.

3. La caracterización corporal.

4. Lo lúdico como fuente de expresión.

5. La improvisación como técnica actoral y de dramaturgia personal.


IV. METODOLOGÍA

- Lectura de textos relacionados con temas del curso.
- Clases expositivas.
- Trabajo práctico escénico.
- Comentarios después de cada clase.


V. EVALUACIÓN

- Participación y asistencia a clases: 35%
- Proceso de trabajo durante el curso: 35%
- Trabajar final: 30%


VI. BIBLIOGRAFÍA

Mínima:

Meter, Brook. La puerta abierta. España. Alba Editorial, 1994.

Johnstone, Keth. Impro: Improvisición y el teatro. Santiago. Cuatro Vientos, 1990.

Lecoq, Jacques. El cuerpo poético. Barcelona. Alba Editorial, 2003.

Lecoq, Jacques Le Théatre du geste: mimes et acteurs. París: Bordas, 1987.



PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE*"
Actividades Universitarias,VRA3000,Programa de curso no disponible
Actividades Universitarias,VRA4000,"CURSO:INTEGRIDAD ACADÉMICA EN LA UC
TRADUCCIÓN:ACADEMIC INTEGRITY UC
SIGLA:VRA4000
CRÉDITOS:SIN CRÉDITOS
MÓDULOS:04
MODALIDAD:ONLINE
CARÁCTER:MÍNIMO	
TIPO:LIBRE	
CALIFICACIÓN:ALFANUMÉRICA
PALABRAS CLAVE:INTEGRIDAD ACADÉMICA, CÓDIGO DE HONOR, VALORES, ACTUACIÓN ÍNTEGRA, DILEMAS ÉTICOS
NIVEL FORMATIVO:PREGRADO


I."
Diseño,DNO1012,"CURSO:TÉCNICAS DE REPRESENTACIÓN
TRADUCCIÓN:REPRESENTATION AND OBSERVATION TECHNIQUES
SIGLA:DNO1012
CRÉDITOS:10 
MÓDULOS:02
CARÁCTER:MÍNIMO
TIPO:CÁTEDRA
CALIFICACIÓN:ESTÁNDAR (CALIFICACIÓN DE 1.0 A 7.0)
PALABRAS CLAVE:REPRESENTACIÓN, DIBUJO, FORMA, DISEÑAR
NIVEL FORMATIVO:PREGRADO


I."
Economía y Administración,EAM573,"CURSO:DISEÑO Y GESTIÓN DE LA PARTICIPACIÓN DE STAKEHOLDERS EN PROYECTOS ESTRATÉGICOS.
TRADUCCIÓN:DESIGN AND MANAGEMENT FOR PARTICIPATION OF STAKEHOLDERS IN STRATEGIC PROJECTS
SIGLA:EAM573
CRÉDITOS:02
MÓDULOS:01/TRIMESTRAL	
CARÁCTER:OPTATIVO
TIPO:TALLER
CALIFICACIÓN:ESTÁNDAR
PALABRAS CLAVE:DISEÑO ESTRATÉGICO, DISEÑO PARTICIPATIVO, DISEÑO DE SERVICIOS
NIVEL FORMATIVO:MAGÍSTER


I."
Educación,EDU0164,"CURSO:PRÁCTICA INICIAL
TRADUCCIÓN:INITIAL PRACTICE
SIGLA:EDU0164	
CRÉDITOS:10
MÓDULOS:03
CARÁCTER:MÍNIMO
TIPO:PRÁCTICA
CALIFICACIÓN:ESTÁNDAR
PALABRAS CLAVE:CONTEXTO ESCOLAR, DISEÑO DE SECUENCIAS DE CLASE, INTERACCIONES PARA EL APRENDIZAJE, GESTIÓN Y LIDERAZGO PEDAGÓGICO
NIVEL FORMATIVO:PREGRADO


I."
Educación,EDU0265,"             :      DIDÁCTICA DE LA QUÍMICA I
"
Estudios Urbanos,IEU2002,"CURSO:SOCIOLOGÍA DE LAS GRANDES CIUDADES	
TRADUCCIÓN:SOCIOLOGY OF LARGE CITIES	
SIGLA:IEU2002	
CRÉDITOS:10	 
MÓDULOS:02	 
CARÁCTER:FORMACIÓN GENERAL	 
TIPO:CÁTEDRA	
CALIFICACIÓN:ESTÁNDAR	
PALABRAS CLAVES:VIDA SOCIAL, GRANDES CIUDADES CONTEMPORÁNEAS		
NIVEL FORMATIVO:PREGRADO	
ÁREA FG:CIENCIAS SOCIALES	
HABILIDADES FG:COMUNICACIÓN EFECTIVA, DISCERNIMIENTO ÉTICO, PENSAMIENTO CRÍTICO.	


I.INTEGRIDAD ACADÉMICA Y CÓDIGO DE HONOR

Este curso se compromete con la Integridad Académica, reconociéndola como pilar fundamental del proceso formativo de nuestros estudiantes, para colaborar en la construcción de una cultura de respeto e integridad en la UC. Por tanto, las estrategias metodológicas y de evaluación, debiesen favorecer la promoción de los valores de honestidad, confianza, justicia, respeto y responsabilidad, así como el desarrollo de habilidades transversales para el aprendizaje.

Además, para fortalecer esta cultura de respeto e integridad, este curso se adscribe y compromete con el Código de Honor UC: 

Como miembro de la comunidad de la Pontificia Universidad Católica de Chile, me comprometo a respetar los principios y normativas que la rigen. Asimismo, me comprometo a actuar con rectitud y honestidad en las relaciones con los demás integrantes de la comunidad y en la realización de todo trabajo, particularmente en aquellas actividades vinculadas a la docencia, al aprendizaje y la creación, difusión y transferencia del conocimiento. Además, me comprometo a velar por la dignidad e integridad de las personas, evitando incurrir en y, rechazando, toda conducta abusiva de carácter físico, verbal, psicológico y de violencia sexual. Del mismo modo, asumo el compromiso de cuidar los bienes de la Universidad.


II."
Estudios Urbanos,IEU3091,Programa de curso no disponible
Estudios Urbanos,IEU3090,Programa de curso no disponible
Estudios Urbanos,IEU3092,Programa de curso no disponible
Matemáticas,EPG4020,"CURSO		:	ACTIVIDAD ANUAL DE SEGUIMIENTO II
TRADUCCIÓN	:	Monitoring activity II 
SIGLA		:	EPG4020
CRÉDITOS	:	0 UC / 0 SCT
REQUISITOS	:	EPG4010
CARÁCTER	:	Mínimo 


I.	DESCRIPCIÓN

	El candidato debe preparar un informe escrito en el que se presentan los avances logrados durante el segundo año de desarrollo de su investigación doctoral. Esta actividad requiere completar las exigencias previas del plan de estudio y las establecidas en el reglamento del programa.


II.	OBJETIVOS

1.	   Presentar los logros alcanzados durante la realización de las actividades de investigación planificadas
2.	   Adquirir la capacidad de diseñar o rediseñar el proyecto de tesis, incorporando los comentarios críticos y tomando decisiones relevantes, cuestiones propias del proceso investigativo.

III.	CONTENIDOS

     Variables, según la disciplina o línea de especialización del alumno.


IV.	METODOLOGÍA

Escritura de informes que sinteticen y exhiban el avance y progreso de la investigación doctoral. 


V.	EVALUACIÓN

Informes de avances y evidencia del progreso en las metas de mediano plazo de la investigación doctoral. El reporte será calificado con las categorías, Aprobado (A) o Reprobado (R).
rma
VI.	BIBLIOGRAFÍA

Variable, según la disciplina o línea de especialización del alumno. 
"
Matemáticas,MAT1023,"CURSO			: CÁLCULO
TRADUCCIÓN		: CALCULUS
SIGLA			: MAT1023
CRÉDITOS		: 10
MÓDULOS			: 03
REQUISITOS		: SIN REQUISITOS
TIPO DE ASIGNATURA	: CÁTEDRA
CALIFICACIÓN		: ESTÁNAR
DISCIPLINA		: MATEMÁTICA


I. DESCRIPCIÓN

El curso desarrolla los elementos básicos del cálculo, enfatizando en los aspectos conceptuales y a sus aplicaciones en otras áreas del conocimiento.


II. OBJETIVOS

1. Estudiar y comprender los elementos básicos de Cálculo, dando énfasis a aspectos conceptuales y a sus aplicaciones a otras áreas del conocimiento, como la Física y la Biología.


III. CONTENIDOS

1. Funciones y gráficas.

1.1 Funciones numérica, gráfica y algebraica.

1.2 Modelos lineales y rectas.

1.3 Crecimiento exponencial, interés compuesto, desintegración radioactiva.

1.4 Funciones polinomiales.

1.5 Funciones inversas y logaritmos.

1.6 Periodicidad, ondas y funciones trigonométricas.


2. Derivadas.

2.1 Límites.

2.2 Derivada en un punto, recta tangente.

2.3 Velocidad.

2.4 Función derivada.

2.5 Derivadas de exponencial, seno y coseno.


3. Reglas de derivación.

3.1 Derivada de suma, resta, producto, cociente.

3.2 Composición, regla de la cadena.

3.3 Derivada de la función inversa.


4. Integral definida.

4.1 Area de bajo una curva.

4.2 Trabajo.

4.3 Teorema fundamental.

4.4 Cambio de variables.


5. Contenidos adicionales.

5.1 Prescripción de dosis efectiva y segura.

5.2 Distribución de recursos.

5.3 Medición del flujo cardiaco.

5.4 Cinética de reacciones químicas.


IV. METODOLOGÍA

- Clases expositivas.
- Ejercicios prácticos.


V. EVALUACIÓN

- Pruebas integrales.
- Controles.
- Examen.


VI. BIBLIOGRAFÍA

Consorcio de Harvard. Cálculo.

Edwards, C. y D. Penney. Cálculo. Nueva Jersey: Prentice Hall, 2002.

Hoffman, L. y G. Bradley. Cálculo. Bogotá: McGraw-Hill, 1998.



PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE
FACULTAD DE MATEMÁTICAS / Enero 2016"
Matemáticas,EYP3507,"CURSO: BIOESTADÍSTICA 
TRADUCCIÓN: BIOSTATISTICS 
SIGLA: EYP3507
CRÉDITOS: 10
MÓDULOS: 03 (02 CÁTEDRAS Y 01 AYUDANTÍA)
CARÁCTER: OPTATIVO 
TIPO: CATEDRA 
CALIFICACIÓN: ESTÁNDAR 
DISCIPLINA:	ESTADÍSTICA
PALABRAS CLAVE: DISEÑOS DE INVESTIGACIÓN; SESGO; MEDICIÓN DE RIESGO; MEDIDAS DE ASOCIACIÓN; ANÁLISIS DE SOBREVIVENCIA


I. "
Medicina,MMF3020,Programa de curso no disponible
Medicina,MNR3130,Programa de curso no disponible
Medicina,MNR3120,Programa de curso no disponible
Matemáticas,MAT1000,"CURSO: PRECÁLCULO
TRADUCCIÓN: PRECALCULUS
SIGLA: MAT1000
CRÉDITOS: 10
MÓDULOS: 04
REQUISITOS: SIN REQUISITOS
TIPO: CÁTEDRA
CALIFICACIÓN: ESTÁNDAR
DISCIPLINA: MATEMÁTICA
PALABRAS CLAVE: RECTAS, FUNCIONES, TRIGONOMETRÍA, POLINOMIOS, SUMATORIAS


I. "
Medicina,MSP3006,Programa de curso no disponible
Villarrica,VIP501,"             :      PSICOMOTRICIDAD Y JUEGO EN EL NIÑO
"
Villarrica,VIP070,"             :      SEMINARIO          DE     INVESTIGACIÓN           Y     ENSEÑANZA         BASADO         EN
                          EVIDENCIAS I
"
Villarrica,VIP071,"             :      PRÁCTICA PROFESIONAL EDUCACIÓN TEMPRANA
"
Villarrica,VIP055,"CURSO: DIDÁCTICA DEL LENGUAJE ARTÍSTICO MUSICAL  
TRADUCCIÓN: TEACHING OF ARTS MUSICAL LANGUAGE
SIGLA: VIP055
CRÉDITOS: 05
MÓDULOS: 02
REQUISITOS: VIP041
TIPO: CÁTEDRA
CALIFICACIÓN: ESTÁNDAR
DISCIPLINA: EDUCACIÓN


I. DESCRIPCIÓN

Este curso (teórico/práctico), está orientado a que los/las estudiantes se apropien de la importancia que juega la música como ciencia, arte, lenguaje y forma de expresión de manera transversal en niños y niñas desde 0 a 8 años, a través del estudio de los elementos constitutivos de la música ; desde una perspectiva integral, a fin de favorecer los procesos centrados en la sensibilización auditiva, desarrollo expresivo y la sensibilidad estética, vivencia e interiorización del fenómeno artístico musical. Se aportarán, además, orientaciones didácticas que permitan a los/las futuros/as educadores/as  organizar  estrategias de enseñanza y aprendizaje con el fin de desarrollar en niños y niñas del mencionado nivel a expresar creativamente sentimientos, emociones, ideas, imaginación y fantasías a través de diversos medios como la voz, el cuerpo, el movimiento y los instrumentos musicales, como también a desarrollar capacidades perceptivas en concordancia con las diferentes manifestaciones artísticas y culturales. Este curso contempla la incorporación de las TIC para potenciar el aprendizaje de los estudiantes y como una forma de modelar su uso en la acción pedagógica con los niños.  


II. OBJETIVOS

1. Conocer los códigos y la conceptualización del lenguaje musical para su posterior decodificación. 

2. Identificar los elementos formales del lenguaje musical y corporal, a fin que  (de) favorecer el desarrollo auditivo , la apreciación estética y la expresión creadora en niños y niñas desde 0 a 8 años

3. Desarrollar la habilidad en el manejo de un instrumento melódico armónico y vocal que favorezca el desarrollo de las diversas actividades musicales y corporales. 

4. Identificar recursos materiales y tecnológicos contextualizados, que favorezcan las actividades de enseñanza y aprendizaje del lenguaje musical y corporal. 

5. Analizar el lenguaje musical y corporal como recurso para el desarrollo de la individualidad, el manejo de las experiencias afectivas y las relaciones interpersonales y con el entorno de niños y niñas de  0 a 8 años.

6. Reconocer los fundamentos y principios de la música y de la expresión corporal a fin de favorecer la creación de acciones educativas acordes al nivel.

7. Identificar las bases pedagógicas del desarrollo musical y corporal de niños/as de 0 a 8 años que contribuya al diseño, implementación y aplicación de propuestas curriculares integrales y pertinentes.

8. Valorar la importancia del lenguaje musical  y corporal como manifestación humana y como potenciadora de las áreas del desarrollo de niños y niñas. 


III. COMPETENCIAS

Pedagógico disciplinar:

1. Diseña e implementa estrategias de enseñanza para la primera infancia, coherentes con los aprendizajes esperados, consistentes con el conocimiento disciplinar y pertinentes a los contextos socioculturales.


Profesional:

1. Genera ambientes y experiencias de aprendizaje lúdicas que promuevan el desarrollo y expresión de las artes y la tecnología con un enfoque que respete la diversidad cultural.


IV. CONTENIDOS

1. Los elementos constitutivos básicos del lenguaje Musical y Corporal.

1.1 Sonido y sus cualidades El sonido como materia prima de la música.

1.2 Sonido, ruido y silencio: concepto y aplicación en la música.

1.3 Parámetros del sonido: Altura, timbre, Intensidad, Duración.

1.4 El ritmo como distribución en el tiempo en la música.

1.4.1 Pulso.

1.4.2 Ritmo (binario, ternario).

1.4.3 Compás.

1.4.4 Tempo.  


2. La melodía y la armonía.

2.1 Sucesión de alturas.

2.2 Intervalos.

2.3 La escala musical: mayor, menor y pentáfona.


3. Elementos de la forma: temas, motivos y frases.


4. Principios básicos para la organización musical: repetición, variación, imitación.


5. Estructuras básicas: binarias y ternarias.


6. Aspectos psicoevolutivos musicales.


7. Características del desarrollo apreciativo y expresivo musical del niños de 0 a 8 años.


8. Materiales y recursos para la música y la expresión corporal en la educación infantil. 

8.1 Tecnología audio visual en el aula

8.2 Los materiales didácticos necesarios para el desarrollo musical.

8.3 Los instrumentos musicales cotidianos y escolares.


9. Enfoques y Estrategias didácticas.

9.1 Competencias musicales del educador en torno a las disciplinas.

9.2 El rol del educador para el estímulo y desarrollo de la expresión artística y corporal infantil.

9.3 Ambiente físico y afectivo favorecedores de la expresión artística en niños de 0 a 8 años.

9.4 El juego como elemento integrador de las áreas de expresión artística  y corporal.

9.5 Análisis de .las bases Curriculares y l Planes de Estudio NB1.

9.6 Diseño, implementación, aplicación y evaluación de situaciones de enseñanza aprendizaje para niños y niñas de 0 a 8 años.

9.7 Métodos didácticos musicales

9.8 El uso de medios tecnológicos y TIC en los niveles iniciales. 


10. Arte y cultura.

10.1 Manifestaciones del arte musical y corporal como legado Universal y Latinoamericano. 

10.2 Reseña de las manifestaciones artísticas musicales y corporales en Chile.


V. METODOLOGÍA

- Clases expositivas y dialogadas.
- Análisis de documentos.
- Trabajos de investigación.
- Talleres grupales e individuales.


VI. EVALUACIÓN

- Pruebas escritas y orales.
- Controles instrumentales individuales.
- Informes grupales.
- Producciones personales y grupales.
- Planificación de propuestas didácticas.
- Autoevaluación.


VII. BIBLIOGRAFÍA

Aróstegui, José Luis, [et al.]. La creatividad en la clase de música: componer y tocar. Grao. España. 2007.

Bernabeu, Natalia y Goldstein, Andy. Creatividad y Aprendizaje. El juego como herramienta pedagógica. Narcea. España. 2009.

Blaser, Albert y otros. Música y Movimiento. Actividades rítmicas en el aula, Grao (Biblioteca  de Eufonía) Barcelona. 2001.

Bossuat, Christophe et. al. Aportaciones teóricas y metodológicas a la educación musical. Grao. España. 2007.

Ferrer,J.S. Teoría y práctica del canto. Ediciones Herder. Barcelona. 2001.

Hargreaves David J. (2002) Infancia y educación artística. Morata, S.L. España

Hargreaves, David J. (1998) Música y desarrollo psicológico. Graó  Barcelona.

Hernández Morlans, et.al. El juego como estrategia didáctica. Grao. España. 2008.

Jaritonsky, Perla. El lenguaje corporal del niño preescolar, ediciones  Ricordi Americana, Buenos Aires. 2007.

Kalmar, Deborah. Que es la expresión corporal: a partir de la corriente de trabajo creada por Patricia Stokoe, ediciones Lumen Humanitas, Buenos Aires. 2006.

Learreta Ramos, Begoña (coord.) y cols. Los contenidos de expresión corporal. Inde Publicaciones, Barcelona. 2005.

Motos, Tomäs Teruel y Aranda, Leopoldo. Práctica de la Expresión Corporal Tercera edición. Ñaque. España. 2005.

Pascual Mejía, Pilar. Didáctica de la música para primaria/Madrid, Santiago, Chile Pearson/Prentice Hall. 2002.

Sanuy Simón, Conchita. Cascabelea. Actividades de expresión, oral, corporal  musical y plástica.  Narcea, Madrid. 2000.

Trias y otros. Juegos de música y expresión corporal. Parramon S.A. Barcelona. España. 2002.



PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE
CAMPUS VILLARRICA / Julio 2016"
